sentiment,time,hashtags
2,1421696703,EFC
0,1421696704,EFC
1,1421696706,EFC
-4,1421696708,EFC
0,1421696710,WBA
0,1421696711,EFC
1,1421696712,EFC
0,1421696713,EFC
1,1421696717,EFC
4,1421696718,EFC
0,1421696719,EFC
0,1421696720,EFC
0,1421696722,EFC
0,1421696727,EFC
1,1421696729,EFC
2,1421696730,
0,1421696731,EFC
1,1421696733,EFC
0,1421696734,EFC
0,1421696738,
0,1421696744,EFC
1,1421696745,EFC
0,1421696748,EFC
-3,1421696748,EFC
0,1421696749,EFC
0,1421696755,EFC
0,1421696756,EFC
2,1421696761,EFC
4,1421696763,WBA
0,1421696766,EFC
0,1421696767,EFC
0,1421696768,EFC
0,1421696775,EFC
0,1421696783,
0,1421696785,WBA
0,1421696786,EFC
2,1421696793,EFC
1,1421696795,EFC
1,1421696802,EFC
0,1421696813,EFC
1,1421696816,EFC
2,1421696820,WBA
4,1421696823,EFC
0,1421696823,EFC
4,1421696837,EFC
0,1421696839,EFC
0,1421696842,EFC
0,1421696845,EFC
-2,1421696846,EFC
0,1421696848,EFC
0,1421696853,
0,1421696853,EFC
1,1421696856,EFC
0,1421696858,Both
0,1421696864,EFC
0,1421696866,EFC
0,1421696869,EFC
0,1421696873,EFC
0,1421696875,Both
0,1421696876,EFC
0,1421696876,WBA
0,1421696877,EFC
-4,1421696878,EFC
0,1421696879,EFC
-4,1421696888,EFC
3,1421696891,EFC
0,1421696891,EFC
1,1421696898,EFC
0,1421696900,WBA
0,1421696901,EFC
1,1421696902,EFC
0,1421696903,EFC
3,1421696908,
0,1421696913,EFC
0,1421696918,Both
-2,1421696921,EFC
8,1421696925,
0,1421696929,WBA
0,1421696935,WBA
1,1421696942,EFC
1,1421696943,EFC
0,1421696944,EFC
1,1421696947,EFC
8,1421696951,
0,1421696956,EFC
0,1421696959,EFC
0,1421696960,WBA
0,1421696961,EFC
0,1421696964,EFC
0,1421696964,Both
0,1421696965,EFC
-2,1421696971,EFC
2,1421696974,EFC
0,1421696975,EFC
1,1421696975,EFC
1,1421696976,EFC
0,1421696976,EFC
0,1421696977,EFC
0,1421696982,WBA
0,1421696984,EFC
0,1421696984,WBA
1,1421696984,EFC
1,1421696986,EFC
1,1421696991,EFC
1,1421696992,EFC
0,1421696997,
3,1421697002,EFC
0,1421697005,EFC
-1,1421697016,EFC
0,1421697017,Both
0,1421697019,WBA
0,1421697020,EFC
0,1421697023,EFC
0,1421697023,EFC
0,1421697023,EFC
0,1421697024,Both
0,1421697025,EFC
0,1421697027,WBA
1,1421697027,EFC
0,1421697032,EFC
2,1421697034,WBA
1,1421697039,EFC
1,1421697039,EFC
1,1421697041,EFC
0,1421697049,Both
0,1421697049,EFC
0,1421697049,
-3,1421697053,EFC
7,1421697059,EFC
0,1421697060,EFC
1,1421697063,EFC
4,1421697064,EFC
1,1421697066,EFC
3,1421697068,
0,1421697071,EFC
1,1421697072,EFC
1,1421697072,EFC
2,1421697075,
7,1421697081,EFC
-2,1421697083,EFC
1,1421697088,EFC
0,1421697090,EFC
0,1421697092,EFC
0,1421697098,WBA
1,1421697099,EFC
0,1421697102,EFC
12,1421697105,
4,1421697109,EFC
6,1421697110,EFC
0,1421697118,EFC
0,1421697118,EFC
1,1421697118,EFC
0,1421697120,EFC
0,1421697124,EFC
0,1421697127,EFC
2,1421697129,
0,1421697130,EFC
0,1421697136,Both
0,1421697138,Both
2,1421697140,
0,1421697141,EFC
1,1421697148,EFC
1,1421697149,EFC
1,1421697149,EFC
0,1421697151,EFC
0,1421697151,EFC
0,1421697153,EFC
0,1421697155,EFC
3,1421697167,
1,1421697167,EFC
0,1421697178,EFC
0,1421697183,EFC
-2,1421697183,EFC
0,1421697186,EFC
-4,1421697187,EFC
4,1421697188,EFC
0,1421697192,Both
0,1421697196,EFC
0,1421697198,EFC
0,1421697203,EFC
0,1421697207,EFC
0,1421697208,Both
0,1421697229,Both
6,1421697232,EFC
3,1421697233,
0,1421697237,Both
0,1421697237,EFC
3,1421697238,EFC
0,1421697239,EFC
0,1421697242,WBA
0,1421697247,EFC
0,1421697254,
-6,1421697260,EFC
1,1421697260,EFC
1,1421697261,EFC
-1,1421697262,EFC
1,1421697262,EFC
1,1421697263,EFC
1,1421697264,EFC
-2,1421697271,EFC
1,1421697276,EFC
1,1421697280,EFC
0,1421697281,EFC
0,1421697288,EFC
-3,1421697290,EFC
2,1421697291,
1,1421697294,EFC
-2,1421697294,EFC
0,1421697294,EFC
0,1421697295,EFC
0,1421697298,EFC
0,1421697298,EFC
0,1421697298,EFC
0,1421697304,EFC
3,1421697312,WBA
0,1421697314,EFC
0,1421697314,EFC
3,1421697316,EFC
0,1421697317,EFC
0,1421697318,EFC
2,1421697318,EFC
0,1421697319,EFC
0,1421697319,EFC
0,1421697321,EFC
0,1421697321,EFC
0,1421697325,WBA
-6,1421697329,EFC
4,1421697333,EFC
0,1421697336,Both
0,1421697340,EFC
0,1421697345,EFC
2,1421697345,WBA
0,1421697347,EFC
0,1421697350,EFC
1,1421697350,EFC
0,1421697352,EFC
0,1421697353,EFC
0,1421697354,EFC
0,1421697364,WBA
1,1421697366,EFC
0,1421697370,EFC
4,1421697371,EFC
0,1421697382,EFC
0,1421697385,EFC
0,1421697385,EFC
1,1421697387,EFC
0,1421697388,EFC
0,1421697389,
0,1421697390,EFC
0,1421697390,WBA
4,1421697391,EFC
0,1421697393,EFC
1,1421697394,EFC
1,1421697397,Both
0,1421697399,
0,1421697401,
0,1421697412,EFC
0,1421697412,EFC
0,1421697418,EFC
0,1421697422,EFC
0,1421697423,EFC
0,1421697428,
0,1421697428,EFC
0,1421697429,EFC
0,1421697433,
3,1421697434,WBA
0,1421697441,EFC
-2,1421697442,EFC
0,1421697442,WBA
0,1421697445,EFC
2,1421697454,EFC
0,1421697456,WBA
4,1421697460,EFC
0,1421697460,EFC
0,1421697460,EFC
2,1421697461,WBA
1,1421697462,EFC
-1,1421697468,EFC
0,1421697470,WBA
4,1421697470,EFC
0,1421697472,EFC
0,1421697474,EFC
1,1421697475,EFC
0,1421697475,EFC
-1,1421697482,EFC
1,1421697484,EFC
1,1421697487,EFC
1,1421697489,EFC
0,1421697494,EFC
0,1421697495,EFC
0,1421697500,EFC
0,1421697503,EFC
0,1421697505,EFC
0,1421697513,EFC
0,1421697518,EFC
0,1421697520,EFC
3,1421697527,EFC
0,1421697536,EFC
1,1421697537,EFC
1,1421697538,EFC
4,1421697539,EFC
0,1421697541,EFC
1,1421697542,EFC
1,1421697543,EFC
0,1421697545,WBA
0,1421697549,EFC
0,1421697550,EFC
0,1421697550,EFC
0,1421697550,EFC
0,1421697559,EFC
0,1421697561,EFC
-1,1421697562,EFC
0,1421697568,EFC
0,1421697569,WBA
0,1421697571,Both
0,1421697571,EFC
1,1421697575,EFC
0,1421697575,EFC
0,1421697576,EFC
0,1421697580,EFC
0,1421697583,EFC
0,1421697585,EFC
0,1421697585,EFC
0,1421697587,EFC
5,1421697587,EFC
0,1421697604,EFC
0,1421697604,EFC
9,1421697606,EFC
0,1421697607,Both
0,1421697607,WBA
0,1421697610,
0,1421697612,WBA
0,1421697615,Both
-2,1421697615,EFC
0,1421697615,EFC
0,1421697617,EFC
0,1421697618,EFC
1,1421697618,EFC
0,1421697619,EFC
0,1421697621,EFC
0,1421697621,EFC
0,1421697622,EFC
0,1421697628,EFC
7,1421697629,EFC
0,1421697630,EFC
1,1421697631,EFC
3,1421697634,EFC
0,1421697635,EFC
0,1421697636,EFC
0,1421697637,EFC
0,1421697643,EFC
0,1421697643,EFC
8,1421697643,EFC
0,1421697645,EFC
0,1421697646,EFC
0,1421697648,EFC
1,1421697650,EFC
0,1421697653,
0,1421697654,EFC
-1,1421697654,Both
0,1421697656,EFC
3,1421697660,EFC
0,1421697662,Both
0,1421697665,
2,1421697670,Both
0,1421697676,EFC
0,1421697678,WBA
1,1421697679,EFC
0,1421697684,EFC
0,1421697688,EFC
0,1421697688,Both
0,1421697692,
-3,1421697695,EFC
-3,1421697695,EFC
0,1421697703,
0,1421697704,EFC
0,1421697705,WBA
6,1421697708,EFC
0,1421697708,EFC
0,1421697709,EFC
0,1421697712,Both
-1,1421697718,
0,1421697718,EFC
0,1421697723,
0,1421697724,EFC
1,1421697730,EFC
0,1421697735,EFC
4,1421697741,EFC
0,1421697742,Both
0,1421697742,EFC
0,1421697743,WBA
0,1421697743,Both
0,1421697744,Both
0,1421697754,EFC
0,1421697769,Both
2,1421697769,EFC
-3,1421697772,EFC
6,1421697773,EFC
1,1421697773,EFC
0,1421697775,
3,1421697776,EFC
3,1421697777,EFC
3,1421697777,EFC
0,1421697777,
0,1421697777,WBA
1,1421697780,EFC
2,1421697781,EFC
0,1421697782,
1,1421697783,EFC
1,1421697786,EFC
0,1421697794,Both
0,1421697799,Both
0,1421697803,EFC
2,1421697806,EFC
2,1421697809,EFC
0,1421697809,EFC
3,1421697820,EFC
3,1421697822,EFC
3,1421697822,EFC
3,1421697822,EFC
0,1421697824,EFC
1,1421697828,EFC
0,1421697828,Both
1,1421697829,EFC
0,1421697831,
-3,1421697838,EFC
0,1421697839,EFC
0,1421697841,EFC
1,1421697841,EFC
0,1421697843,EFC
0,1421697847,EFC
1,1421697853,EFC
0,1421697857,Both
9,1421697859,EFC
0,1421697860,EFC
1,1421697864,EFC
0,1421697864,WBA
0,1421697869,Both
2,1421697874,EFC
1,1421697877,EFC
0,1421697878,EFC
1,1421697884,EFC
0,1421697888,
0,1421697900,EFC
0,1421697904,EFC
0,1421697914,EFC
0,1421697915,EFC
0,1421697920,EFC
2,1421697924,EFC
2,1421697924,EFC
0,1421697927,EFC
0,1421697929,
3,1421697931,EFC
0,1421697943,Both
1,1421697951,EFC
0,1421697954,Both
0,1421697954,Both
0,1421697960,EFC
0,1421697962,Both
0,1421697964,EFC
0,1421697964,Both
0,1421697968,EFC
0,1421697969,EFC
0,1421697969,EFC
0,1421697970,EFC
0,1421697970,
0,1421697973,Both
0,1421697978,EFC
1,1421697979,EFC
1,1421697979,EFC
1,1421697979,EFC
1,1421697979,EFC
1,1421697980,EFC
1,1421697980,EFC
1,1421697980,EFC
1,1421697980,EFC
1,1421697981,EFC
1,1421697981,EFC
1,1421697981,EFC
1,1421697981,EFC
1,1421697981,EFC
2,1421697982,EFC
1,1421697982,EFC
1,1421697982,EFC
1,1421697982,EFC
1,1421697982,EFC
1,1421697982,EFC
1,1421697983,EFC
1,1421697983,EFC
1,1421697983,EFC
1,1421697983,EFC
0,1421697983,EFC
1,1421697983,EFC
1,1421697984,EFC
1,1421697984,EFC
1,1421697984,EFC
1,1421697984,EFC
1,1421697984,EFC
1,1421697984,EFC
1,1421697985,EFC
1,1421697985,EFC
1,1421697985,EFC
1,1421697985,EFC
1,1421697985,EFC
1,1421697985,EFC
1,1421697986,EFC
0,1421697986,EFC
1,1421697986,EFC
1,1421697986,EFC
1,1421697986,EFC
1,1421697986,EFC
1,1421697987,EFC
1,1421697987,EFC
3,1421697994,EFC
0,1421698003,EFC
0,1421698005,
2,1421698006,EFC
1,1421698007,EFC
0,1421698027,
0,1421698028,EFC
2,1421698030,
3,1421698034,EFC
0,1421698034,WBA
0,1421698035,EFC
0,1421698035,EFC
1,1421698056,EFC
1,1421698058,EFC
0,1421698073,EFC
0,1421698073,
1,1421698075,EFC
0,1421698075,
-5,1421698076,EFC
1,1421698086,EFC
5,1421698088,EFC
0,1421698090,EFC
4,1421698090,EFC
-4,1421698091,EFC
2,1421698095,EFC
1,1421698097,EFC
0,1421698099,
-4,1421698101,WBA
0,1421698101,EFC
0,1421698104,EFC
0,1421698107,
0,1421698116,
4,1421698118,EFC
1,1421698124,EFC
0,1421698125,EFC
0,1421698128,EFC
0,1421698128,EFC
0,1421698139,
2,1421698144,EFC
0,1421698150,EFC
0,1421698157,EFC
0,1421698157,EFC
0,1421698157,EFC
0,1421698159,
7,1421698168,EFC
3,1421698169,EFC
-1,1421698175,
0,1421698184,
0,1421698191,EFC
0,1421698197,EFC
-2,1421698213,EFC
0,1421698220,
0,1421698223,EFC
0,1421698227,EFC
-4,1421698234,Both
5,1421698240,EFC
0,1421698244,EFC
0,1421698248,EFC
2,1421698250,EFC
0,1421698260,
0,1421698260,EFC
0,1421698263,EFC
0,1421698264,EFC
3,1421698273,EFC
0,1421698287,EFC
1,1421698288,EFC
5,1421698293,WBA
-2,1421698296,EFC
0,1421698301,EFC
0,1421698301,Both
0,1421698301,EFC
0,1421698304,
0,1421698306,EFC
0,1421698308,EFC
4,1421698308,Both
2,1421698322,
-2,1421698323,EFC
0,1421698330,EFC
0,1421698332,Both
1,1421698334,EFC
0,1421698337,
-3,1421698339,EFC
0,1421698341,EFC
0,1421698343,EFC
0,1421698346,EFC
5,1421698346,Both
-3,1421698350,EFC
-2,1421698357,Both
0,1421698357,EFC
1,1421698363,EFC
0,1421698366,EFC
5,1421698371,EFC
0,1421698372,EFC
0,1421698376,EFC
0,1421698388,
1,1421698398,EFC
2,1421698400,EFC
-2,1421698400,EFC
0,1421698400,EFC
3,1421698409,EFC
0,1421698411,WBA
5,1421698412,EFC
0,1421698426,EFC
-1,1421698430,EFC
-3,1421698434,EFC
3,1421698445,EFC
0,1421698457,EFC
0,1421698457,EFC
